Epoch #0, train loss: 116676.2344, train acc: 0.2738, test loss: 136595.3125, test acc: 0.3611 

Epoch #1, train loss: 76416.3750, train acc: 0.2738, test loss: 102300.8125, test acc: 0.3611 

Epoch #2, train loss: 69504.2578, train acc: 0.4524, test loss: 41403.5469, test acc: 0.4278 

Epoch #3, train loss: 37817.9648, train acc: 0.4452, test loss: 27305.2266, test acc: 0.4667 

Epoch #4, train loss: 17746.3809, train acc: 0.5262, test loss: 19773.8242, test acc: 0.4722 

Epoch #5, train loss: 9511.2178, train acc: 0.5262, test loss: 18784.3047, test acc: 0.4722 

Epoch #6, train loss: 7830.5610, train acc: 0.5262, test loss: 13978.1768, test acc: 0.4722 

Epoch #7, train loss: 7667.8516, train acc: 0.5262, test loss: 22151.5859, test acc: 0.4722 

Epoch #8, train loss: 9574.3975, train acc: 0.5262, test loss: 14962.4805, test acc: 0.4722 

Epoch #9, train loss: 3825.8669, train acc: 0.8452, test loss: 14662.4648, test acc: 0.5056 

Epoch #10, train loss: 3926.2661, train acc: 0.8452, test loss: 16987.6172, test acc: 0.5056 

Epoch #11, train loss: 4424.4497, train acc: 0.8452, test loss: 21017.8516, test acc: 0.5056 

Epoch #12, train loss: 3327.2317, train acc: 0.8452, test loss: 18427.8027, test acc: 0.5056 

Epoch #13, train loss: 2672.3218, train acc: 0.8452, test loss: 15472.9961, test acc: 0.5056 

Epoch #14, train loss: 2136.8384, train acc: 0.8452, test loss: 17920.4082, test acc: 0.5056 

Epoch #15, train loss: 2311.5344, train acc: 0.8452, test loss: 25120.9375, test acc: 0.5056 

Epoch #16, train loss: 3419.7512, train acc: 0.8452, test loss: 24504.6543, test acc: 0.5056 

Epoch #17, train loss: 3231.9114, train acc: 0.8452, test loss: 16473.5273, test acc: 0.5056 

Epoch #18, train loss: 2605.8879, train acc: 0.8452, test loss: 21743.4355, test acc: 0.5056 

Epoch #19, train loss: 4849.9839, train acc: 0.8452, test loss: 27738.9863, test acc: 0.5056 

Epoch #20, train loss: 4840.7612, train acc: 0.8452, test loss: 19829.3281, test acc: 0.5056 

Epoch #21, train loss: 1767.9113, train acc: 0.9167, test loss: 17296.5547, test acc: 0.5167 

Epoch #22, train loss: 2091.7747, train acc: 0.9167, test loss: 17539.5430, test acc: 0.5167 

Epoch #23, train loss: 2479.9817, train acc: 0.9167, test loss: 18407.7305, test acc: 0.5167 

Epoch #24, train loss: 1442.2291, train acc: 0.9167, test loss: 18690.2090, test acc: 0.5167 

Epoch #25, train loss: 1423.7961, train acc: 0.9167, test loss: 17704.3574, test acc: 0.5167 

Epoch #26, train loss: 1834.4403, train acc: 0.9167, test loss: 24898.8066, test acc: 0.5167 

Epoch #27, train loss: 6210.3813, train acc: 0.9167, test loss: 28987.1973, test acc: 0.5167 

Epoch #28, train loss: 2421.6606, train acc: 0.9167, test loss: 25230.7832, test acc: 0.5167 

Epoch #29, train loss: 2230.3159, train acc: 0.9167, test loss: 21148.6914, test acc: 0.5167 

Epoch #30, train loss: 1476.6359, train acc: 0.9167, test loss: 23251.0762, test acc: 0.5167 

Epoch #31, train loss: 843.3453, train acc: 0.9167, test loss: 20416.3672, test acc: 0.5167 

Epoch #32, train loss: 848.2424, train acc: 0.9167, test loss: 19109.3672, test acc: 0.5167 

Epoch #33, train loss: 417.0015, train acc: 0.9167, test loss: 24924.9277, test acc: 0.5167 

