Epoch #0, train loss: 237077.2500, train acc: 0.2354, test loss: 152572.4688, test acc: 0.4125 

Epoch #1, train loss: 142426.7188, train acc: 0.2354, test loss: 101676.2344, test acc: 0.4125 

Epoch #2, train loss: 90055.5703, train acc: 0.2354, test loss: 103237.0312, test acc: 0.4125 

Epoch #3, train loss: 49941.8672, train acc: 0.4208, test loss: 43259.6953, test acc: 0.4375 

Epoch #4, train loss: 24489.7734, train acc: 0.5646, test loss: 19359.0938, test acc: 0.4750 

Epoch #5, train loss: 10846.4980, train acc: 0.5812, test loss: 24817.0566, test acc: 0.5000 

Epoch #6, train loss: 8297.6562, train acc: 0.5812, test loss: 20186.5117, test acc: 0.5000 

Epoch #7, train loss: 7284.5806, train acc: 0.6812, test loss: 12240.0156, test acc: 0.5063 

Epoch #8, train loss: 4230.6382, train acc: 0.6812, test loss: 19261.3828, test acc: 0.5063 

Epoch #9, train loss: 4687.2686, train acc: 0.6812, test loss: 34490.7891, test acc: 0.5063 

Epoch #10, train loss: 9507.5957, train acc: 0.6812, test loss: 19370.4785, test acc: 0.5063 

Epoch #11, train loss: 12087.1592, train acc: 0.6812, test loss: 12935.2510, test acc: 0.5063 

Epoch #12, train loss: 7016.5518, train acc: 0.6812, test loss: 23473.9316, test acc: 0.5063 

Epoch #13, train loss: 3174.2832, train acc: 0.7937, test loss: 12971.9238, test acc: 0.5187 

Epoch #14, train loss: 3875.9968, train acc: 0.7937, test loss: 17750.4375, test acc: 0.5187 

Epoch #15, train loss: 4870.4932, train acc: 0.7937, test loss: 19703.8281, test acc: 0.5187 

Epoch #16, train loss: 3233.4492, train acc: 0.7937, test loss: 16484.6289, test acc: 0.5187 

Epoch #17, train loss: 1120.0288, train acc: 0.7937, test loss: 19470.9434, test acc: 0.5187 

Epoch #18, train loss: 1526.9784, train acc: 0.7937, test loss: 24702.9180, test acc: 0.5187 

Epoch #19, train loss: 2453.5679, train acc: 0.7937, test loss: 16628.8047, test acc: 0.5187 

Epoch #20, train loss: 1351.1991, train acc: 0.7937, test loss: 16856.0820, test acc: 0.5187 

Epoch #21, train loss: 1758.9182, train acc: 0.7937, test loss: 14802.3984, test acc: 0.5187 

Epoch #22, train loss: 3094.0222, train acc: 0.7937, test loss: 21344.6992, test acc: 0.5187 

Epoch #23, train loss: 3326.2712, train acc: 0.7937, test loss: 13653.3369, test acc: 0.5187 

Epoch #24, train loss: 1918.2076, train acc: 0.7937, test loss: 16843.6309, test acc: 0.5187 

Epoch #25, train loss: 1529.7932, train acc: 0.7937, test loss: 18371.8750, test acc: 0.5187 

Epoch #26, train loss: 2135.3530, train acc: 0.7937, test loss: 23567.2031, test acc: 0.5187 

Epoch #27, train loss: 2186.8401, train acc: 0.7937, test loss: 17711.5605, test acc: 0.5187 

Epoch #28, train loss: 366.8672, train acc: 0.7937, test loss: 13615.6914, test acc: 0.5187 

Epoch #29, train loss: 494.8536, train acc: 0.9479, test loss: 15840.6123, test acc: 0.5250 

Epoch #30, train loss: 1573.3054, train acc: 0.9479, test loss: 24077.0352, test acc: 0.5250 

Epoch #31, train loss: 5671.5156, train acc: 0.9479, test loss: 24742.1523, test acc: 0.5250 

Epoch #32, train loss: 3795.3235, train acc: 0.9479, test loss: 17468.7578, test acc: 0.5250 

Epoch #33, train loss: 862.3580, train acc: 0.9479, test loss: 18008.0781, test acc: 0.5250 

Epoch #34, train loss: 399.6623, train acc: 0.9479, test loss: 14743.7705, test acc: 0.5250 

Epoch #35, train loss: 171.3045, train acc: 0.9479, test loss: 19997.7129, test acc: 0.5250 

Epoch #36, train loss: 583.3818, train acc: 0.9479, test loss: 15724.6758, test acc: 0.5250 

Epoch #37, train loss: 565.1752, train acc: 0.9479, test loss: 17305.5586, test acc: 0.5250 

Epoch #38, train loss: 923.6506, train acc: 0.9479, test loss: 16972.1328, test acc: 0.5250 

Epoch #39, train loss: 1080.7377, train acc: 0.9479, test loss: 18404.4688, test acc: 0.5250 

Epoch #40, train loss: 619.2209, train acc: 0.9479, test loss: 16530.2305, test acc: 0.5250 

Epoch #41, train loss: 753.1165, train acc: 0.9479, test loss: 14619.8809, test acc: 0.5250 

Epoch #42, train loss: 346.3099, train acc: 0.9479, test loss: 20570.2070, test acc: 0.5250 

Epoch #43, train loss: 612.7639, train acc: 0.9250, test loss: 16974.5938, test acc: 0.5312 

Epoch #44, train loss: 2632.9172, train acc: 0.9250, test loss: 28011.9414, test acc: 0.5312 

Epoch #45, train loss: 9980.3467, train acc: 0.7083, test loss: 28967.3633, test acc: 0.5688 

Epoch #46, train loss: 19787.2305, train acc: 0.6187, test loss: 52753.0469, test acc: 0.5813 

Epoch #47, train loss: 31355.2637, train acc: 0.6187, test loss: 22549.3555, test acc: 0.5813 

Epoch #48, train loss: 6982.5322, train acc: 0.6187, test loss: 35216.6406, test acc: 0.5813 

Epoch #49, train loss: 3288.0454, train acc: 0.6187, test loss: 21675.4844, test acc: 0.5813 

Epoch #50, train loss: 2034.1538, train acc: 0.6187, test loss: 20128.3574, test acc: 0.5813 

Epoch #51, train loss: 1396.1624, train acc: 0.6187, test loss: 32310.7520, test acc: 0.5813 

Epoch #52, train loss: 890.2018, train acc: 0.6187, test loss: 25209.1367, test acc: 0.5813 

Epoch #53, train loss: 390.7474, train acc: 0.6187, test loss: 20654.2070, test acc: 0.5813 

Epoch #54, train loss: 51.8080, train acc: 0.6187, test loss: 23835.2734, test acc: 0.5813 

Epoch #55, train loss: 37.4193, train acc: 0.6187, test loss: 24332.9336, test acc: 0.5813 

Epoch #56, train loss: 8.0016, train acc: 0.6187, test loss: 21204.0000, test acc: 0.5813 

Epoch #57, train loss: 0.0000, train acc: 0.6187, test loss: 20499.9648, test acc: 0.5813 

Epoch #58, train loss: 102.2373, train acc: 0.6187, test loss: 24215.1562, test acc: 0.5813 

Epoch #59, train loss: 248.9852, train acc: 0.6187, test loss: 26143.0117, test acc: 0.5813 

Epoch #60, train loss: 228.6992, train acc: 0.6187, test loss: 22247.5234, test acc: 0.5813 

Epoch #61, train loss: 626.2212, train acc: 0.6187, test loss: 23615.9844, test acc: 0.5813 

Epoch #62, train loss: 196.3120, train acc: 0.6187, test loss: 20745.5605, test acc: 0.5813 

Epoch #63, train loss: 450.3958, train acc: 0.6187, test loss: 20228.1621, test acc: 0.5813 

Epoch #64, train loss: 21.8257, train acc: 0.6187, test loss: 22222.6426, test acc: 0.5813 

Epoch #65, train loss: 246.9994, train acc: 0.6187, test loss: 22594.6289, test acc: 0.5813 

Epoch #66, train loss: 418.3669, train acc: 0.6187, test loss: 21782.0605, test acc: 0.5813 

Epoch #67, train loss: 163.4113, train acc: 0.6187, test loss: 18991.6797, test acc: 0.5813 

Epoch #68, train loss: 1108.9867, train acc: 0.6187, test loss: 27800.9414, test acc: 0.5813 

Epoch #69, train loss: 3809.3169, train acc: 0.6187, test loss: 27694.3613, test acc: 0.5813 

Epoch #70, train loss: 7965.4170, train acc: 0.6187, test loss: 65360.6250, test acc: 0.5813 

Epoch #71, train loss: 7226.3789, train acc: 0.6187, test loss: 19400.7598, test acc: 0.5813 

Epoch #72, train loss: 3042.5142, train acc: 0.6187, test loss: 42740.4141, test acc: 0.5813 

Epoch #73, train loss: 4809.0083, train acc: 0.6187, test loss: 37806.0742, test acc: 0.5813 

Epoch #74, train loss: 2558.1670, train acc: 0.6187, test loss: 36503.5352, test acc: 0.5813 

Epoch #75, train loss: 3093.7080, train acc: 0.6187, test loss: 36318.9219, test acc: 0.5813 

Epoch #76, train loss: 1773.6090, train acc: 0.6187, test loss: 36491.5352, test acc: 0.5813 

Epoch #77, train loss: 712.9885, train acc: 0.6187, test loss: 25693.3418, test acc: 0.5813 

Epoch #78, train loss: 697.4109, train acc: 0.6187, test loss: 33344.2812, test acc: 0.5813 

Epoch #79, train loss: 327.9911, train acc: 0.6187, test loss: 35144.7969, test acc: 0.5813 

Epoch #80, train loss: 913.4001, train acc: 0.6187, test loss: 37220.0352, test acc: 0.5813 

Epoch #81, train loss: 860.6617, train acc: 0.6187, test loss: 26748.0039, test acc: 0.5813 

Epoch #82, train loss: 440.3753, train acc: 0.6187, test loss: 25741.1562, test acc: 0.5813 

Epoch #83, train loss: 63.4584, train acc: 0.6187, test loss: 34276.4453, test acc: 0.5813 

Epoch #84, train loss: 2727.9731, train acc: 0.6187, test loss: 33968.1289, test acc: 0.5813 

Epoch #85, train loss: 1475.9409, train acc: 0.6187, test loss: 38708.6719, test acc: 0.5813 

Epoch #86, train loss: 3799.7791, train acc: 0.6187, test loss: 26594.3594, test acc: 0.5813 

Epoch #87, train loss: 2145.9824, train acc: 0.6187, test loss: 53131.2734, test acc: 0.5813 

Epoch #88, train loss: 7118.1670, train acc: 0.6187, test loss: 35905.5039, test acc: 0.5813 

Epoch #89, train loss: 4939.2939, train acc: 0.6187, test loss: 47331.8086, test acc: 0.5813 

