Epoch #0, train loss: 201791.0312, train acc: 0.2667, test loss: 192092.5625, test acc: 0.1556 

Epoch #1, train loss: 139726.2500, train acc: 0.3310, test loss: 72450.0781, test acc: 0.3056 

Epoch #2, train loss: 68463.0469, train acc: 0.4190, test loss: 48281.9453, test acc: 0.4167 

Epoch #3, train loss: 50861.2070, train acc: 0.4310, test loss: 43874.6328, test acc: 0.4500 

Epoch #4, train loss: 25489.9785, train acc: 0.4310, test loss: 23314.6934, test acc: 0.4500 

Epoch #5, train loss: 13460.2549, train acc: 0.4310, test loss: 21715.8398, test acc: 0.4500 

Epoch #6, train loss: 19205.6211, train acc: 0.5667, test loss: 22227.2383, test acc: 0.4722 

Epoch #7, train loss: 13787.0938, train acc: 0.5667, test loss: 25138.4961, test acc: 0.4722 

Epoch #8, train loss: 8754.1309, train acc: 0.6762, test loss: 18402.3574, test acc: 0.5000 

Epoch #9, train loss: 3482.9949, train acc: 0.6762, test loss: 20697.8047, test acc: 0.5000 

Epoch #10, train loss: 2990.5046, train acc: 0.6762, test loss: 16712.1113, test acc: 0.5000 

Epoch #11, train loss: 3279.4414, train acc: 0.6762, test loss: 14627.3330, test acc: 0.5000 

Epoch #12, train loss: 2693.9773, train acc: 0.6762, test loss: 20864.4863, test acc: 0.5000 

Epoch #13, train loss: 1829.4070, train acc: 0.6762, test loss: 14543.9404, test acc: 0.5000 

Epoch #14, train loss: 2343.1267, train acc: 0.6762, test loss: 24462.2500, test acc: 0.5000 

Epoch #15, train loss: 6341.5386, train acc: 0.6762, test loss: 23969.2617, test acc: 0.5000 

Epoch #16, train loss: 1874.4934, train acc: 0.6762, test loss: 17819.5078, test acc: 0.5000 

Epoch #17, train loss: 2118.7805, train acc: 0.6762, test loss: 17588.3848, test acc: 0.5000 

Epoch #18, train loss: 1821.6115, train acc: 0.6762, test loss: 22527.4297, test acc: 0.5000 

Epoch #19, train loss: 1413.2946, train acc: 0.6762, test loss: 16063.4863, test acc: 0.5000 

Epoch #20, train loss: 1021.4843, train acc: 0.9595, test loss: 14193.9814, test acc: 0.5222 

Epoch #21, train loss: 763.7462, train acc: 0.9595, test loss: 21544.8281, test acc: 0.5222 

Epoch #22, train loss: 2062.1587, train acc: 0.9595, test loss: 21887.3477, test acc: 0.5222 

Epoch #23, train loss: 1109.3118, train acc: 0.9595, test loss: 18290.3242, test acc: 0.5222 

Epoch #24, train loss: 660.2333, train acc: 0.9595, test loss: 18202.2949, test acc: 0.5222 

Epoch #25, train loss: 1037.2689, train acc: 0.9595, test loss: 18389.0547, test acc: 0.5222 

Epoch #26, train loss: 605.6860, train acc: 0.9595, test loss: 21175.3926, test acc: 0.5222 

Epoch #27, train loss: 2574.6921, train acc: 0.9595, test loss: 23671.8711, test acc: 0.5222 

Epoch #28, train loss: 3250.7146, train acc: 0.9595, test loss: 23699.0020, test acc: 0.5222 

Epoch #29, train loss: 2633.8853, train acc: 0.9595, test loss: 29164.0234, test acc: 0.5222 

Epoch #30, train loss: 3595.9570, train acc: 0.9595, test loss: 23397.1523, test acc: 0.5222 

Epoch #31, train loss: 1665.0645, train acc: 0.9595, test loss: 22643.6680, test acc: 0.5222 

Epoch #32, train loss: 869.0146, train acc: 0.9595, test loss: 20191.6426, test acc: 0.5222 

Epoch #33, train loss: 543.8335, train acc: 0.9595, test loss: 21031.3379, test acc: 0.5222 

Epoch #34, train loss: 1178.1904, train acc: 0.9595, test loss: 16210.3574, test acc: 0.5222 

Epoch #35, train loss: 1569.1863, train acc: 0.9595, test loss: 30426.6660, test acc: 0.5222 

Epoch #36, train loss: 5037.0493, train acc: 0.9595, test loss: 20677.0527, test acc: 0.5222 

Epoch #37, train loss: 4779.4932, train acc: 0.9595, test loss: 32433.1387, test acc: 0.5222 

Epoch #38, train loss: 8501.4609, train acc: 0.9595, test loss: 42075.6406, test acc: 0.5222 

Epoch #39, train loss: 4501.6084, train acc: 0.9595, test loss: 25214.6738, test acc: 0.5222 

Epoch #40, train loss: 2368.0366, train acc: 0.9595, test loss: 25369.3398, test acc: 0.5222 

Epoch #41, train loss: 2461.7349, train acc: 0.9595, test loss: 27292.0762, test acc: 0.5222 

Epoch #42, train loss: 1951.7982, train acc: 0.9595, test loss: 31451.8574, test acc: 0.5222 

Epoch #43, train loss: 1722.1721, train acc: 0.9595, test loss: 35303.9922, test acc: 0.5222 

Epoch #44, train loss: 994.7933, train acc: 0.9595, test loss: 24757.8516, test acc: 0.5222 

Epoch #45, train loss: 3150.9504, train acc: 0.9595, test loss: 33339.2852, test acc: 0.5222 

Epoch #46, train loss: 3491.6680, train acc: 0.9595, test loss: 27203.7148, test acc: 0.5222 

Epoch #47, train loss: 373.9514, train acc: 0.9595, test loss: 29530.8672, test acc: 0.5222 

Epoch #48, train loss: 314.8364, train acc: 0.9595, test loss: 21557.0898, test acc: 0.5222 

Epoch #49, train loss: 5.4134, train acc: 0.9595, test loss: 19048.7109, test acc: 0.5222 

Epoch #50, train loss: 233.4080, train acc: 0.9595, test loss: 20390.7188, test acc: 0.5222 

Epoch #51, train loss: 82.9732, train acc: 0.9595, test loss: 23003.1797, test acc: 0.5222 

Epoch #52, train loss: 185.4146, train acc: 0.9595, test loss: 22221.6426, test acc: 0.5222 

Epoch #53, train loss: 235.3058, train acc: 0.9595, test loss: 22540.6641, test acc: 0.5222 

Epoch #54, train loss: 46.9669, train acc: 0.9595, test loss: 23035.7832, test acc: 0.5222 

Epoch #55, train loss: 0.0000, train acc: 0.9595, test loss: 23047.4961, test acc: 0.5222 

Epoch #56, train loss: 9.0071, train acc: 0.9595, test loss: 22440.5137, test acc: 0.5222 

Epoch #57, train loss: 0.0000, train acc: 0.9595, test loss: 26468.2578, test acc: 0.5222 

Epoch #58, train loss: 238.2058, train acc: 0.9595, test loss: 22527.6953, test acc: 0.5222 

Epoch #59, train loss: 0.0000, train acc: 1.0000, test loss: 26073.6172, test acc: 0.5278 

Epoch #60, train loss: 7.9547, train acc: 1.0000, test loss: 22678.3125, test acc: 0.5278 

Epoch #61, train loss: 0.0000, train acc: 1.0000, test loss: 24930.9141, test acc: 0.5278 

Epoch #62, train loss: 0.0000, train acc: 1.0000, test loss: 26604.2480, test acc: 0.5278 

Epoch #63, train loss: 7.7513, train acc: 1.0000, test loss: 22803.5215, test acc: 0.5278 

Epoch #64, train loss: 0.0000, train acc: 1.0000, test loss: 26269.7734, test acc: 0.5278 

