Epoch #0, train loss: 198600.6562, train acc: 0.2396, test loss: 193501.9062, test acc: 0.2125 

Epoch #1, train loss: 102815.1094, train acc: 0.2646, test loss: 56200.2500, test acc: 0.4375 

Epoch #2, train loss: 53060.8594, train acc: 0.5229, test loss: 54090.7109, test acc: 0.4563 

Epoch #3, train loss: 30931.8105, train acc: 0.5229, test loss: 37970.5273, test acc: 0.4563 

Epoch #4, train loss: 25393.8594, train acc: 0.5229, test loss: 47594.4258, test acc: 0.4563 

Epoch #5, train loss: 23298.8281, train acc: 0.5229, test loss: 43035.5078, test acc: 0.4563 

Epoch #6, train loss: 14624.5605, train acc: 0.5229, test loss: 24802.9121, test acc: 0.4563 

Epoch #7, train loss: 10325.1006, train acc: 0.5229, test loss: 19409.5703, test acc: 0.4563 

Epoch #8, train loss: 6516.8672, train acc: 0.5229, test loss: 20079.5469, test acc: 0.4563 

Epoch #9, train loss: 5619.4824, train acc: 0.7229, test loss: 24075.1172, test acc: 0.4688 

Epoch #10, train loss: 5896.2266, train acc: 0.7229, test loss: 32197.9766, test acc: 0.4688 

Epoch #11, train loss: 8565.2021, train acc: 0.7229, test loss: 25836.4766, test acc: 0.4688 

Epoch #12, train loss: 4544.5801, train acc: 0.7229, test loss: 25135.9980, test acc: 0.4688 

Epoch #13, train loss: 7598.0586, train acc: 0.7229, test loss: 21835.0117, test acc: 0.4688 

Epoch #14, train loss: 20803.1289, train acc: 0.6271, test loss: 17803.8418, test acc: 0.5500 

Epoch #15, train loss: 10948.8281, train acc: 0.6271, test loss: 16946.0918, test acc: 0.5500 

Epoch #16, train loss: 4908.3037, train acc: 0.6271, test loss: 17311.1230, test acc: 0.5500 

Epoch #17, train loss: 2153.5847, train acc: 0.6271, test loss: 16545.6699, test acc: 0.5500 

Epoch #18, train loss: 2030.1564, train acc: 0.6271, test loss: 20172.0215, test acc: 0.5500 

Epoch #19, train loss: 3765.7295, train acc: 0.6271, test loss: 23329.8867, test acc: 0.5500 

Epoch #20, train loss: 1972.8040, train acc: 0.6271, test loss: 18062.5391, test acc: 0.5500 

Epoch #21, train loss: 2560.4893, train acc: 0.6271, test loss: 18983.0469, test acc: 0.5500 

Epoch #22, train loss: 1815.8186, train acc: 0.9000, test loss: 16619.2012, test acc: 0.5562 

Epoch #23, train loss: 1315.0352, train acc: 0.9000, test loss: 17912.8105, test acc: 0.5562 

